R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major,R,I,A,S,E,C,cluster
5,3,1,3,3,1,3,1,3,1,1,3,1,1,1,1,3,3,5,3,3,5,3,5,3,5,3,3,3,5,3,5,5,5,5,3,5,5,3,3,3,3,3,3,0,3,3,3,5,2,6,3,5,5,3,5,5,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,16,1,4,1,1,2,1,5,accounting,20,12,30,30,34,21,35
4,2,2,3,3,2,3,3,3,3,2,3,2,2,2,2,3,2,4,4,2,3,3,4,5,2,4,5,4,4,5,5,3,4,4,3,3,4,3,3,3,3,3,4,3,3,4,3,5,4,6,6,5,5,7,4,5,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,17,1,4,0,0,0,0,0,accounting,22,19,25,34,27,26,35
3,1,2,1,1,1,1,1,1,4,4,1,1,4,1,3,4,5,3,3,5,3,3,5,4,4,4,1,5,5,5,3,5,1,2,4,4,5,4,4,5,3,1,5,3,5,4,3,5,4,5,6,2,4,7,5,2,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,1,16,1,4,1,1,2,1,3,accounting,11,19,31,31,29,29,35
3,1,2,2,2,1,2,1,3,4,5,4,3,3,3,2,3,3,4,2,4,3,3,3,4,3,4,1,3,4,4,3,3,2,5,5,5,4,4,5,2,2,3,3,4,3,4,3,6,4,5,3,5,4,5,4,5,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,3,2,2,17,2,7,1,1,2,0,7,accounting,14,27,25,26,33,24,35
4,4,1,1,2,3,2,1,4,2,4,2,3,2,1,4,5,1,5,3,2,4,1,4,5,4,3,3,4,3,2,3,4,3,4,4,5,5,1,5,2,4,1,3,4,3,1,2,2,2,6,3,2,6,7,5,6,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,3,2,2,21,1,0,1,1,1,1,3,accounting,18,22,25,27,31,20,35
5,1,1,3,1,1,3,1,3,5,5,3,3,1,1,1,3,5,5,5,5,3,3,5,5,3,3,5,5,3,5,3,3,1,5,1,5,5,1,3,1,3,1,1,1,1,1,3,6,7,7,5,7,4,7,5,5,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,1,2,19,1,3,1,1,2,1,3,accounting,16,22,34,32,24,12,35
5,1,1,1,1,3,4,3,2,3,3,2,3,4,2,4,4,4,5,2,4,4,3,5,5,4,4,3,4,1,1,2,3,4,4,5,5,5,3,4,3,2,1,4,2,3,2,2,6,7,5,1,5,3,6,1,6,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,2,2,24,1,6,1,1,2,1,1,accounting,19,23,31,24,33,19,35
4,3,3,2,3,3,2,3,2,2,2,3,2,3,2,2,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,5,2,2,2,3,3,2,2,3,5,6,3,5,4,4,3,5,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,21,2,10,4,1,2,1,6,accounting,23,18,30,30,31,21,35
2,1,2,2,2,2,2,2,2,3,2,4,2,2,1,2,5,4,2,3,2,5,3,4,5,3,2,4,5,4,4,3,3,2,4,4,3,4,4,4,3,2,2,4,1,3,2,2,5,6,2,5,6,5,6,7,6,3,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,4,3,2,2,45,1,3,1,1,2,1,3,accounting,15,18,28,30,28,19,35
4,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,5,5,5,5,5,5,5,5,4,3,4,2,4,5,4,5,4,3,3,3,3,5,4,3,4,2,3,3,3,2,4,3,6,3,6,4,6,5,7,2,6,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,18,1,4,1,1,2,1,3,accounting,16,11,40,31,28,24,35
1,1,1,2,1,1,2,2,3,3,2,3,1,2,3,1,5,4,4,3,3,5,4,5,4,4,4,3,5,4,4,5,1,2,5,4,5,5,4,5,2,2,1,4,1,2,5,4,5,5,7,6,7,6,5,1,5,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,2,3,2,2,18,1,4,3,4,2,1,2,accounting,11,18,33,33,31,21,35
1,2,1,1,2,1,3,1,4,4,2,3,3,4,3,3,4,4,3,4,5,5,2,5,3,3,3,4,4,4,4,5,2,2,4,5,4,4,3,4,3,1,2,2,4,2,4,3,6,6,5,3,6,5,5,5,6,4,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,3,2,2,17,1,4,1,1,2,1,5,accounting,12,26,32,30,28,21,35
3,0,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,2,2,3,3,4,3,4,3,3,3,2,3,3,3,3,3,4,3,7,7,7,7,7,7,7,1,7,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,2,21,1,4,2,4,1,1,2,accounting,20,24,26,22,26,24,35
4,3,3,3,2,3,2,2,3,4,2,3,1,3,2,3,3,4,1,2,3,4,5,2,4,3,2,4,2,1,3,2,3,4,4,4,4,2,4,3,2,3,1,4,1,3,3,2,5,1,5,1,5,2,5,6,6,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,1,2,21,2,3,1,1,2,1,0,accounting,22,21,24,21,28,19,35
2,2,1,2,1,1,1,2,3,2,2,2,2,3,1,2,4,3,2,4,4,4,3,3,4,4,4,4,4,3,4,4,2,3,4,3,2,4,3,3,1,4,2,2,2,2,3,3,5,1,2,1,5,2,7,1,2,7,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,2,3,2,2,17,2,4,5,1,2,1,6,accounting,12,17,27,31,24,19,35
3,0,1,1,1,3,3,1,5,4,3,1,1,4,1,1,4,3,4,4,4,4,3,3,5,5,5,4,5,5,2,4,2,1,3,4,5,1,3,3,5,2,5,2,5,1,1,1,6,3,7,2,6,6,4,1,7,6,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,2,20,1,4,5,2,2,1,7,accounting,13,20,29,35,22,22,35
